"","tconst","seasonNumber","episodeNumber"
"1","tt1480055","Season  1",1
"2","tt1668746","Season  1",2
"3","tt1829962","Season  1",3
"4","tt1829963","Season  1",4
"5","tt1829964","Season  1",5
"6","tt1837862","Season  1",6
"7","tt1837863","Season  1",7
"8","tt1837864","Season  1",8
"9","tt1851398","Season  1",9
"10","tt1851397","Season  1",10
"11","tt1971833","Season  2",1
"12","tt2069318","Season  2",2
"13","tt2070135","Season  2",3
"14","tt2069319","Season  2",4
"15","tt2074658","Season  2",5
"16","tt2085238","Season  2",6
"17","tt2085239","Season  2",7
"18","tt2085240","Season  2",8
"19","tt2084342","Season  2",9
"20","tt2112510","Season  2",10
"21","tt2178782","Season  3",1
"22","tt2178772","Season  3",2
"23","tt2178802","Season  3",3
"24","tt2178798","Season  3",4
"25","tt2178788","Season  3",5
"26","tt2178812","Season  3",6
"27","tt2178814","Season  3",7
"28","tt2178806","Season  3",8
"29","tt2178784","Season  3",9
"30","tt2178796","Season  3",10
"31","tt2816136","Season  4",1
"32","tt2832378","Season  4",2
"33","tt2972426","Season  4",3
"34","tt2972428","Season  4",4
"35","tt3060856","Season  4",5
"36","tt3060910","Season  4",6
"37","tt3060876","Season  4",7
"38","tt3060782","Season  4",8
"39","tt3060858","Season  4",9
"40","tt3060860","Season  4",10
"41","tt3658012","Season  5",1
"42","tt3846626","Season  5",2
"43","tt3866836","Season  5",3
"44","tt3866838","Season  5",4
"45","tt3866840","Season  5",5
"46","tt3866842","Season  5",6
"47","tt3866846","Season  5",7
"48","tt3866850","Season  5",8
"49","tt3866826","Season  5",9
"50","tt3866862","Season  5",10
"51","tt3658014","Season  6",1
"52","tt4077554","Season  6",2
"53","tt4131606","Season  6",3
"54","tt4283016","Season  6",4
"55","tt4283028","Season  6",5
"56","tt4283054","Season  6",6
"57","tt4283060","Season  6",7
"58","tt4283074","Season  6",8
"59","tt4283088","Season  6",9
"60","tt4283094","Season  6",10
"61","tt5654088","Season  7",1
"62","tt5655178","Season  7",2
"63","tt5775840","Season  7",3
"64","tt5775846","Season  7",4
"65","tt5775854","Season  7",5
"66","tt5775864","Season  7",6
"67","tt5775874","Season  7",7
"68","tt5924366","Season  8",1
"69","tt6027908","Season  8",2
"70","tt6027912","Season  8",3
"71","tt6027914","Season  8",4
"72","tt6027916","Season  8",5
"73","tt6027920","Season  8",6
